msgTime,roundNum,role,clkTime,outcome,numOutcome,source,workerid_uniq,gameid,contents,numCleanChars,numRawChars,numCleanWords,numRawWords,condition,clickStatus,clickColH,clickColL,clickColS,clickLocS,clickLocL,alt1Status,alt1ColH,alt1ColL,alt1ColS,alt1LocS,alt1LocL,alt2Status,alt2ColH,alt2ColL,alt2ColS,alt2LocS,alt2LocL,targetD1Diff,targetD2Diff,D1D2Diff
,1,speaker,,true,1,1,20000,10000,medium purple,13,13,2,2,split,target,307,50,39,1,3,distr1,337,50,43,2,1,distr2,125,50,6,3,2,10.059199381611672,35.16081126351426,30.54473173041984
,1,speaker,,true,1,1,20000,10001,taupe,5,5,1,1,far,target,350,50,8,1,1,distr1,193,50,83,2,2,distr2,31,50,92,3,3,81.6022706973217,49.61432453725792,109.1928652198136
,1,speaker,,true,1,1,20000,10002,gray blue,9,9,2,2,close,target,190,50,5,1,3,distr1,85,50,28,2,2,distr2,36,50,25,3,1,18.107879927908574,19.58628797817621,12.54192353867388
,1,speaker,,true,1,1,20000,10003,deep teal,9,9,2,2,far,target,180,50,52,1,1,distr1,132,50,55,2,3,distr2,244,50,7,3,2,24.752186465086822,37.75437780890579,48.24799778235764
,1,speaker,,true,1,1,20000,10004,golden brown,12,12,2,2,far,target,34,50,65,1,2,distr1,103,50,27,2,3,distr2,225,50,44,3,1,38.46172499700522,74.31809305932995,44.01320348568798
,1,speaker,,true,1,1,20000,10005,gray green,10,10,2,2,close,target,60,50,9,1,1,distr1,331,50,1,2,3,distr2,324,50,9,3,2,7.461711827514232,9.195690428045431,5.603183156086953
,1,speaker,,true,1,1,20000,10006,turquoise green,15,15,2,2,far,target,149,50,69,1,2,distr1,30,50,23,2,1,distr2,251,50,16,3,3,69.20707123788249,60.4760096987187,25.91872747390462
,1,speaker,,true,1,1,20001,10007,Plain grey,10,10,2,2,split,target,324,50,1,1,1,distr1,196,50,19,2,2,distr2,21,50,90,3,3,13.345190209619298,49.69096218091296,60.6449202890116
,1,speaker,,true,1,1,20001,10008,Pale green,10,10,2,2,split,target,168,50,13,1,3,distr1,38,50,3,2,1,distr2,263,50,48,3,2,10.122916963781028,32.498197730176386,32.79705253036402
,1,speaker,,true,1,1,20001,10009,Deep blue,9,9,2,2,far,target,234,50,53,1,2,distr1,221,50,86,2,3,distr2,296,50,0,3,1,36.65148021038653,50.23724521298296,87.88253715994551
,1,speaker,,true,1,1,20001,10010,Brown,5,5,1,1,split,target,22,50,33,1,2,distr1,50,50,4,2,1,distr2,180,50,38,3,3,16.805994274797197,45.11921749276172,29.99505654734945
,1,speaker,,true,1,1,20001,10011,Green,5,5,1,1,close,target,100,50,27,1,3,distr1,165,50,17,2,1,distr2,35,50,15,3,2,14.972055002513823,17.17292762684891,19.695378997315434
,1,speaker,,true,1,1,20001,10012,Brownish green,14,14,2,2,split,target,71,50,19,1,1,distr1,93,50,17,2,3,distr2,175,50,70,3,2,7.835177766628384,66.61632255076981,60.547257059359595
,1,speaker,,true,1,1,20001,10013,Light purple,12,12,2,2,close,target,285,50,16,1,2,distr1,0,50,23,2,3,distr2,308,50,6,3,1,13.588332672961615,7.065463178772825,10.655173837940227
